,FIPS_Code,State,Area_name,Attribute,MedianHHIncome,Area_1,Area_2
270,1001,AL,"Autauga County, AL",Median_Household_Income_2020,67565.0,Autauga County,AL
363,1003,AL,"Baldwin County, AL",Median_Household_Income_2020,71135.0,Baldwin County,AL
456,1005,AL,"Barbour County, AL",Median_Household_Income_2020,38866.0,Barbour County,AL
549,1007,AL,"Bibb County, AL",Median_Household_Income_2020,50907.0,Bibb County,AL
642,1009,AL,"Blount County, AL",Median_Household_Income_2020,55203.0,Blount County,AL
735,1011,AL,"Bullock County, AL",Median_Household_Income_2020,33124.0,Bullock County,AL
828,1013,AL,"Butler County, AL",Median_Household_Income_2020,42268.0,Butler County,AL
921,1015,AL,"Calhoun County, AL",Median_Household_Income_2020,50259.0,Calhoun County,AL
1014,1017,AL,"Chambers County, AL",Median_Household_Income_2020,39318.0,Chambers County,AL
1107,1019,AL,"Cherokee County, AL",Median_Household_Income_2020,50388.0,Cherokee County,AL
1200,1021,AL,"Chilton County, AL",Median_Household_Income_2020,52693.0,Chilton County,AL
1293,1023,AL,"Choctaw County, AL",Median_Household_Income_2020,41649.0,Choctaw County,AL
1386,1025,AL,"Clarke County, AL",Median_Household_Income_2020,44178.0,Clarke County,AL
1479,1027,AL,"Clay County, AL",Median_Household_Income_2020,44763.0,Clay County,AL
1572,1029,AL,"Cleburne County, AL",Median_Household_Income_2020,50134.0,Cleburne County,AL
1665,1031,AL,"Coffee County, AL",Median_Household_Income_2020,54203.0,Coffee County,AL
1758,1033,AL,"Colbert County, AL",Median_Household_Income_2020,54185.0,Colbert County,AL
1851,1035,AL,"Conecuh County, AL",Median_Household_Income_2020,34664.0,Conecuh County,AL
1944,1037,AL,"Coosa County, AL",Median_Household_Income_2020,46509.0,Coosa County,AL
2037,1039,AL,"Covington County, AL",Median_Household_Income_2020,43544.0,Covington County,AL
2130,1041,AL,"Crenshaw County, AL",Median_Household_Income_2020,45927.0,Crenshaw County,AL
2223,1043,AL,"Cullman County, AL",Median_Household_Income_2020,51844.0,Cullman County,AL
2316,1045,AL,"Dale County, AL",Median_Household_Income_2020,48493.0,Dale County,AL
