,id,name,type,variable,year,PopDensity,Area_1,Area_2
859794,0500000US28151,"Washington County, Mississippi",county,density,2018,64.969,Washington County,Mississippi
859797,0500000US28111,"Perry County, Mississippi",county,density,2018,18.583,Perry County,Mississippi
859800,0500000US28019,"Choctaw County, Mississippi",county,density,2018,19.898,Choctaw County,Mississippi
859803,0500000US28057,"Itawamba County, Mississippi",county,density,2018,44.07,Itawamba County,Mississippi
859806,0500000US28015,"Carroll County, Mississippi",county,density,2018,16.123,Carroll County,Mississippi
859809,0500000US28043,"Grenada County, Mississippi",county,density,2018,50.409,Grenada County,Mississippi
859812,0500000US28063,"Jefferson County, Mississippi",county,density,2018,14.129000000000001,Jefferson County,Mississippi
859815,0500000US28041,"Greene County, Mississippi",county,density,2018,19.241,Greene County,Mississippi
859818,0500000US28093,"Marshall County, Mississippi",county,density,2018,50.676,Marshall County,Mississippi
859821,0500000US28119,"Quitman County, Mississippi",county,density,2018,18.202,Quitman County,Mississippi
859824,0500000US28011,"Bolivar County, Mississippi",county,density,2018,37.181,Bolivar County,Mississippi
859827,0500000US28073,"Lamar County, Mississippi",county,density,2018,123.171,Lamar County,Mississippi
859830,0500000US28081,"Lee County, Mississippi",county,density,2018,188.72099999999998,Lee County,Mississippi
859833,0500000US28113,"Pike County, Mississippi",county,density,2018,97.15299999999999,Pike County,Mississippi
859836,0500000US28135,"Tallahatchie County, Mississippi",county,density,2018,22.255,Tallahatchie County,Mississippi
859839,0500000US28129,"Smith County, Mississippi",county,density,2018,25.246,Smith County,Mississippi
859842,0500000US28131,"Stone County, Mississippi",county,density,2018,41.247,Stone County,Mississippi
859845,0500000US28149,"Warren County, Mississippi",county,density,2018,79.991,Warren County,Mississippi
859848,0500000US28023,"Clarke County, Mississippi",county,density,2018,23.031999999999996,Clarke County,Mississippi
859851,0500000US28069,"Kemper County, Mississippi",county,density,2018,13.190999999999999,Kemper County,Mississippi
859854,0500000US28097,"Montgomery County, Mississippi",county,density,2018,25.058000000000003,Montgomery County,Mississippi
859857,0500000US28105,"Oktibbeha County, Mississippi",county,density,2018,107.99,Oktibbeha County,Mississippi
859860,0500000US28109,"Pearl River County, Mississippi",county,density,2018,68.013,Pearl River County,Mississippi
859863,0500000US28079,"Leake County, Mississippi",county,density,2018,39.228,Leake County,Mississippi
859866,0500000US28103,"Noxubee County, Mississippi",county,density,2018,15.577,Noxubee County,Mississippi
859869,0500000US28099,"Neshoba County, Mississippi",county,density,2018,51.523999999999994,Neshoba County,Mississippi
859872,0500000US28121,"Rankin County, Mississippi",county,density,2018,195.02599999999998,Rankin County,Mississippi
859875,0500000US28137,"Tate County, Mississippi",county,density,2018,70.395,Tate County,Mississippi
859878,0500000US28077,"Lawrence County, Mississippi",county,density,2018,29.326999999999998,Lawrence County,Mississippi
859881,0500000US28107,"Panola County, Mississippi",county,density,2018,49.979,Panola County,Mississippi
859884,0500000US28161,"Yalobusha County, Mississippi",county,density,2018,26.59,Yalobusha County,Mississippi
859887,0500000US28017,"Chickasaw County, Mississippi",county,density,2018,34.435,Chickasaw County,Mississippi
859890,0500000US28029,"Copiah County, Mississippi",county,density,2018,36.952,Copiah County,Mississippi
859893,0500000US28039,"George County, Mississippi",county,density,2018,49.528999999999996,George County,Mississippi
859896,0500000US28049,"Hinds County, Mississippi",county,density,2018,277.98400000000004,Hinds County,Mississippi
859899,0500000US28101,"Newton County, Mississippi",county,density,2018,37.232,Newton County,Mississippi
859902,0500000US28145,"Union County, Mississippi",county,density,2018,68.229,Union County,Mississippi
859905,0500000US28125,"Sharkey County, Mississippi",county,density,2018,10.449000000000002,Sharkey County,Mississippi
859908,0500000US28139,"Tippah County, Mississippi",county,density,2018,48.033,Tippah County,Mississippi
859911,0500000US28035,"Forrest County, Mississippi",county,density,2018,161.944,Forrest County,Mississippi
859914,0500000US28045,"Hancock County, Mississippi",county,density,2018,98.476,Hancock County,Mississippi
859917,0500000US28071,"Lafayette County, Mississippi",county,density,2018,84.626,Lafayette County,Mississippi
859920,0500000US28055,"Issaquena County, Mississippi",county,density,2018,3.215,Issaquena County,Mississippi
859923,0500000US28087,"Lowndes County, Mississippi",county,density,2018,117.57799999999999,Lowndes County,Mississippi
859926,0500000US28083,"Leflore County, Mississippi",county,density,2018,50.299,Leflore County,Mississippi
859929,0500000US28157,"Wilkinson County, Mississippi",county,density,2018,13.258,Wilkinson County,Mississippi
859932,0500000US28047,"Harrison County, Mississippi",county,density,2018,353.01099999999997,Harrison County,Mississippi
859935,0500000US28065,"Jefferson Davis County, Mississippi",county,density,2018,28.143,Jefferson Davis County,Mississippi
859938,0500000US28085,"Lincoln County, Mississippi",county,density,2018,58.746,Lincoln County,Mississippi
859941,0500000US28123,"Scott County, Mississippi",county,density,2018,46.644,Scott County,Mississippi
859944,0500000US28159,"Winston County, Mississippi",county,density,2018,30.232,Winston County,Mississippi
859947,0500000US28163,"Yazoo County, Mississippi",county,density,2018,30.309,Yazoo County,Mississippi
859950,0500000US28009,"Benton County, Mississippi",county,density,2018,20.297,Benton County,Mississippi
859953,0500000US28037,"Franklin County, Mississippi",county,density,2018,13.759,Franklin County,Mississippi
859956,0500000US28061,"Jasper County, Mississippi",county,density,2018,24.441999999999997,Jasper County,Mississippi
859959,0500000US28067,"Jones County, Mississippi",county,density,2018,98.524,Jones County,Mississippi
859962,0500000US28095,"Monroe County, Mississippi",county,density,2018,46.843999999999994,Monroe County,Mississippi
859965,0500000US28133,"Sunflower County, Mississippi",county,density,2018,38.025,Sunflower County,Mississippi
859968,0500000US28155,"Webster County, Mississippi",county,density,2018,23.348000000000003,Webster County,Mississippi
859971,0500000US28001,"Adams County, Mississippi",county,density,2018,68.223,Adams County,Mississippi
859974,0500000US28025,"Clay County, Mississippi",county,density,2018,48.303000000000004,Clay County,Mississippi
859977,0500000US28031,"Covington County, Mississippi",county,density,2018,46.137,Covington County,Mississippi
859980,0500000US28053,"Humphreys County, Mississippi",county,density,2018,20.404,Humphreys County,Mississippi
859983,0500000US29195,"Saline County, Missouri",county,density,2018,30.578000000000003,Saline County,Missouri
859986,0500000US29123,"Madison County, Missouri",county,density,2018,24.686999999999998,Madison County,Missouri
859989,0500000US29229,"Wright County, Missouri",county,density,2018,26.831999999999997,Wright County,Missouri
859992,0500000US29217,"Vernon County, Missouri",county,density,2018,25.038,Vernon County,Missouri
859995,0500000US29147,"Nodaway County, Missouri",county,density,2018,25.71,Nodaway County,Missouri
859998,0500000US29041,"Chariton County, Missouri",county,density,2018,10.046,Chariton County,Missouri
