id_x,name_x,city,county,Area_name,State,country,holeCount,rating,latitude,longitude,zipcode,PopDensity,total_pop,total_income,avg_income,MedianHHIncome,region,fips,County
abundant-life-church,Abundant Life Church,Blaine,Anoka County,"Anoka County, MN",MN,USA,7,,45.1841095,-93.2420547,55434,821.331,16000,925383,57836.4375,84779.0,midwest,27003,Anoka County
lochness-park-disc-golf-course,Lochness Park Disc Golf Course,Blaine,Anoka County,"Anoka County, MN",MN,USA,9,3.0,45.175034600000004,-93.15547509999999,55434,821.331,16000,925383,57836.4375,84779.0,midwest,27003,Anoka County
blue-ribbon-pines-disc-golf-course,Blue Ribbon Pines Disc Golf Course,East Bethel,Anoka County,"Anoka County, MN",MN,USA,27,5.0,45.334694,-93.2228929,55011,821.331,5360,414192,77274.62686567166,84779.0,midwest,27003,Anoka County
visionquest,VisionQuest,Cedar,Anoka County,"Anoka County, MN",MN,USA,18,,45.35758320000001,-93.2892505,55011,821.331,5360,414192,77274.62686567166,84779.0,midwest,27003,Anoka County
bunker-hills-regional-park,Bunker Hills Regional Park,Andover,Anoka County,"Anoka County, MN",MN,USA,9,4.0,45.21708870000001,-93.2774393,55304,821.331,24100,2253012,93485.97510373444,84779.0,midwest,27003,Anoka County
ham-lake-dgc-0,Ham Lake Disc Golf Course,Ham Lake,Anoka County,"Anoka County, MN",MN,USA,18,,45.24958270000001,-93.221122,55304,821.331,24100,2253012,93485.97510373444,84779.0,midwest,27003,Anoka County
coon-rapids-dgc,Coon Rapids Disc Golf Course,Coon Rapids,Anoka County,"Anoka County, MN",MN,USA,21,4.0,45.156572499999996,-93.2823796,55433,821.331,17920,1012996,56528.79464285714,84779.0,midwest,27003,Anoka County
ponds-linwood,Fairway Flyerz Disc Golf Park,Linwood Township,Anoka County,"Anoka County, MN",MN,USA,9,,45.3519468,-93.0795069,55079,821.331,4440,320768,72245.04504504504,84779.0,midwest,27003,Anoka County
fridley-high-school-disc-golf-course,Fridley High School Disc Golf Course,Fridley,Anoka County,"Anoka County, MN",MN,USA,9,,45.077554299999996,-93.2540345,55432,821.331,16670,908615,54505.99880023995,84779.0,midwest,27003,Anoka County
fridley-middle-school-dgc,Fridley Middle School Disc Golf Course,Fridley,Anoka County,"Anoka County, MN",MN,USA,9,,45.0814325,-93.2509017,55432,821.331,16670,908615,54505.99880023995,84779.0,midwest,27003,Anoka County
twin-lakes-park,Twin Lakes Park,Nowthen,Anoka County,"Anoka County, MN",MN,USA,9,,45.3304043,-93.50822209999998,55330,821.331,20510,1588164,77433.64212579229,84779.0,midwest,27003,Anoka County
oak-grove-preserve,Oak Grove Preserve,Oak Grove,Anoka County,"Anoka County, MN",MN,USA,9,3.0,45.32953120000001,-93.3818505,55303,821.331,25380,1791938,70604.3341213554,84779.0,midwest,27003,Anoka County
riverfront-regional-park,Riverfront Regional Park,Fridley,Anoka County,"Anoka County, MN",MN,USA,13,,45.055655200000004,-93.28083149999999,55421,821.331,15180,784434,51675.49407114625,84779.0,midwest,27003,Anoka County
acorn-disc-golf-course,Acorn Disc Golf Course,Roseville,Ramsey County,"Ramsey County, MN",MN,USA,18,3.0,45.0199206,-93.1112053,55113,3557.483,21690,1682837,77585.84601198709,66123.0,midwest,27123,Ramsey County
bethel-university-disc-golf-course,Bethel University Disc Golf Course,Arden Hills,Ramsey County,"Ramsey County, MN",MN,USA,18,5.0,45.06223610000001,-93.16363709999999,55112,3557.483,22620,1737295,76803.49248452696,66123.0,midwest,27123,Ramsey County
