,id,name,city,state_x,zip,holeCount,rating,latitude,longitude,Modified,Comments,state_y,zipcode,total_pop,total_income,country,avg_income,cityURL,county,latstr,lonstr
0,adventist-discovery-park,Adventist DISCovery Park,Opelika,Alabama,36804,3,,32.6454116,-85.3782795,no,none,AL,36804,8240,417346,USA,50648.786407767,Opelika,Lee County,32.6454116,-85.3782795
1,agape-disc-golf-course,Agape Disc Golf Course,Scottsboro,Alabama,35769,9,,34.6228192,-86.0806919,no,none,AL,35769,4170,316625,USA,75929.25659472423,Scottsboro,Jackson County,34.6228192,-86.0806919
2,aggieland-disc-golf,Aggieland Disc Golf,Hamilton,Alabama,35570,18,,34.1423235,-87.98864379999998,no,none,AL,35570,3930,174684,USA,44448.85496183206,Hamilton,Marion County,34.1423235,-87.98864379999998
3,agricultural-heritage-park,Agricultural Heritage Park,Auburn,Alabama,36830,9,,32.5944595,-85.4923344,no,none,AL,36830,16600,1485585,USA,89493.07228915663,Auburn,Lee County,32.5944595,-85.4923344
4,arab-city-park-844-shoal-creek-trail-35016,Arab City Park,Arab,Alabama,35016,18,,34.31783529999999,-86.48182779999998,no,none,AL,35016,7210,385033,USA,53402.63522884882,Arab,Marshall County,34.31783529999999,-86.48182779999998
5,asbury-umc-disc-golf-course,Asbury UMC Disc Golf Course,Madison,Alabama,35758,9,,34.7345,-86.703071,no,none,AL,35758,21560,2066909,USA,95867.76437847863,Madison,Madison County,34.7345,-86.703071
6,dublin-park,Dublin Park,Madison,Alabama,35758,9,2.0,34.709354600000005,-86.73516590000001,no,none,AL,35758,21560,2066909,USA,95867.76437847863,Madison,Madison County,34.709354600000005,-86.73516590000001
7,athens-state-university,Athens State University,Athens,Alabama,35611,9,,34.8055801,-86.9645309,no,none,AL,35611,10330,514537,USA,49809.97095837367,Athens,Limestone County,34.8055801,-86.9645309
8,sportsplex,Sportsplex,Athens,Alabama,35611,19,4.0,34.8144585,-86.941128,no,none,AL,35611,10330,514537,USA,49809.97095837367,Athens,Limestone County,34.8144585,-86.941128
9,auburn-university-montgomery-aum,Auburn University Montgomery (AUM),Montgomery,Alabama,36117,22,,32.3697457,-86.17665840000002,no,none,AL,36117,22550,1696025,USA,75211.75166297118,Montgomery,Montgomery County,32.3697457,-86.17665840000002
10,baker-high-school,Baker High School,Mobile,Alabama,36608,9,,30.6695103,-88.25222149999998,no,none,AL,36608,15650,1313695,USA,83942.17252396166,Mobile,Mobile County,30.6695103,-88.25222149999998
11,langan-municipal-park,Langan Municipal Park,Mobile,Alabama,36608,19,3.0,30.7062075,-88.1596322,no,none,AL,36608,15650,1313695,USA,83942.17252396166,Mobile,Mobile County,30.7062075,-88.1596322
12,municipal-red,Municipal Red Disc Golf Course,Mobile,Alabama,36608,18,,30.6986962,-88.18445600000003,no,none,AL,36608,15650,1313695,USA,83942.17252396166,Mobile,Mobile County,30.6986962,-88.18445600000003
13,spring-hill-college-disc-golf-course,Spring Hill College Disc Golf Course,Mobile,Alabama,36608,18,,30.6915278,-88.137679,no,none,AL,36608,15650,1313695,USA,83942.17252396166,Mobile,Mobile County,30.6915278,-88.137679
14,university-south-alabama,University of South Alabama,Mobile,Alabama,36608,18,,30.6959406,-88.184236,no,none,AL,36608,15650,1313695,USA,83942.17252396166,Mobile,Mobile County,30.6959406,-88.184236
15,bowers-park,Bowers Park,Tuscaloosa,Alabama,35405,18,4.0,33.1771041,-87.5113813,no,none,AL,35405,18530,928260,USA,50094.98111171073,Tuscaloosa,Tuscaloosa County,33.1771041,-87.5113813
16,brahan-springs-park,Brahan Springs Park,Huntsville,Alabama,35805,18,3.0,34.7053182,-86.6003214,no,none,AL,35805,7820,218090,USA,27888.746803069054,Huntsville,Madison County,34.7053182,-86.6003214
17,calhoun-huntsville-campus-disc-golf-course,Calhoun Huntsville Campus Disc Golf Course,Huntsville,Alabama,35805,6,,34.6824569,-86.6387445,no,none,AL,35805,7820,218090,USA,27888.746803069054,Huntsville,Madison County,34.6824569,-86.6387445
18,drake-springs,Drake Springs,Huntsville,Alabama,35805,9,,34.7053182,-86.6003214,no,none,AL,35805,7820,218090,USA,27888.746803069054,Huntsville,Madison County,34.7053182,-86.6003214
19,mirabeau-apartments,Mirabeau Apartments,Huntsville,Alabama,35805,9,,34.71293,-86.5957977,no,none,AL,35805,7820,218090,USA,27888.746803069054,Huntsville,Madison County,34.71293,-86.5957977
20,univ-ala-huntsville-uah,Univ. of Ala. Huntsville (UAH),Huntsville,Alabama,35805,18,,34.725130799999995,-86.63989509999998,no,none,AL,35805,7820,218090,USA,27888.746803069054,Huntsville,Madison County,34.725130799999995,-86.63989509999998
21,brush-creek-park,Brush Creek Park,Waterloo,Alabama,35677,18,,34.9039299,-87.98813740000001,no,none,AL,35677,710,30781,USA,43353.52112676056,Waterloo,Lauderdale County,34.9039299,-87.98813740000001
22,burnt-corn-creek-park,Burnt Corn Creek Park,Brewton,Alabama,36426,9,4.0,31.1538647,-87.0857914,no,none,AL,36426,5590,262530,USA,46964.22182468695,Brewton,Escambia County,31.1538647,-87.0857914
23,camp-127,Camp 1:27,Clanton,Alabama,35046,18,4.0,32.849250899999994,-86.51573909999998,no,none,AL,35046,2320,144501,USA,62284.91379310345,Clanton,Chilton County,32.849250899999994,-86.51573909999998
24,capital-city-disc-golf-course-0,Capital City Disc Golf Course,St. Stephens,Alabama,36569,18,,31.5561333,-88.0376136,no,none,AL,36569,310,17037,USA,54958.06451612903,St.%20Stephens,Washington County,31.5561333,-88.0376136
25,casture-pattle-dgc,Casture Pattle Disc Golf Course,Lanett,Alabama,36863,18,4.0,32.8475631,-85.2552697,no,none,AL,36863,4620,186669,USA,40404.545454545456,Lanett,Chambers County,32.8475631,-85.2552697
26,chapman-pines-disc-golf-course,Chapman Pines Disc Golf Course,Huntsville,Alabama,35811,18,,34.7734165,-86.5473357,no,none,AL,35811,12780,824683,USA,64529.186228482,Huntsville,Madison County,34.7734165,-86.5473357
27,chickasabogue-county-park-new-ridge,Chickasabogue County Park - New Ridge,Eight Mile,Alabama,36613,18,,30.779217600000006,-88.1072892,no,none,AL,36613,4680,178405,USA,38120.72649572649,Eight%20Mile,Mobile County,30.779217600000006,-88.1072892
28,chickasabogue-county-park,Chickasabogue County Park - Original,Eight Mile,Alabama,36613,18,4.0,30.779217600000006,-88.1072892,no,none,AL,36613,4680,178405,USA,38120.72649572649,Eight%20Mile,Mobile County,30.779217600000006,-88.1072892
29,university-mobile-disc-golf-course,University of Mobile Disc Golf Course,Eight Mile,Alabama,36613,18,,30.7937662,-88.1319775,no,none,AL,36613,4680,178405,USA,38120.72649572649,Eight%20Mile,Mobile County,30.7937662,-88.1319775
30,chickasaw-community-park,Chickasaw Community Park,Chickasaw,Alabama,36611,18,4.0,30.76483,-88.07426509999998,no,none,AL,36611,2450,79025,USA,32255.102040816328,Chickasaw,Mobile County,30.76483,-88.07426509999998
31,choccolocco-park,Choccolocco Park,Oxford,Alabama,36203,18,,33.600643299999994,-85.7865571,no,none,AL,36203,8400,446148,USA,53112.85714285714,Oxford,Calhoun County,33.600643299999994,-85.7865571
32,citronelle-municipal-park,Citronelle Municipal Park,Citronelle,Alabama,36522,18,5.0,31.066847,-88.3166768,no,none,AL,36522,2720,129102,USA,47463.970588235294,Citronelle,Mobile County,31.066847,-88.3166768
33,clanton-disc-golf-course,Clanton Disc Golf Course,Clanton,Alabama,35045,18,4.0,32.8434961,-86.62691679999998,no,none,AL,35045,5570,279193,USA,50124.41651705565,Clanton,Chilton County,32.8434961,-86.62691679999998
34,clay-disc-golf-course,Clay Disc Golf Course,Clay,Alabama,35126,21,,33.7142894,-86.57751040000002,no,none,AL,35126,9540,510996,USA,53563.522012578615,Clay,Jefferson County,33.7142894,-86.57751040000002
35,pinson-bicentennial-park,Pinson Bicentennial Park,Pinson,Alabama,35126,18,,33.68376,-86.68419399999998,yes,zip from 35126al to 35126,AL,35126,9540,510996,USA,53563.522012578615,Pinson,Jefferson County,33.68376,-86.68419399999998
36,cottage-hill-park,Cottage Hill Park,Mobile,Alabama,36695,18,3.0,30.656448699999995,-88.1858075,no,none,AL,36695,21810,1495936,USA,68589.45437872536,Mobile,Mobile County,30.656448699999995,-88.1858075
37,creola-city-park,Creola City Park,Creola,Alabama,36525,18,,30.8920993,-88.0378195,no,none,AL,36525,810,44403,USA,54818.51851851852,Creola,Mobile County,30.8920993,-88.0378195
38,daphne-central-park,Daphne Central Park,Daphne,Alabama,36526,18,5.0,30.6488356,-87.9027959,no,none,AL,36526,15800,1209247,USA,76534.62025316454,Daphne,Baldwin County,30.6488356,-87.9027959
39,diamond-disc-golf,Diamond Disc Golf,Cottonwood,Alabama,36320,9,,31.0699391,-85.37537009999998,no,none,AL,36320,1360,56416,USA,41482.35294117647,Cottonwood,Houston County,31.0699391,-85.37537009999998
40,disc-golf-kymulga,Disc Golf Kymulga,Childersburg,Alabama,35044,18,,33.6302375,-86.6022886,no,none,AL,35044,3110,139751,USA,44936.01286173634,Childersburg,Jefferson County,33.6302375,-86.6022886
41,elkahatchee-state-park,Elkahatchee State Park,Alexander City,Alabama,35010,9,3.0,32.926169,-85.9663895,no,none,AL,35010,7840,410413,USA,52348.59693877551,Alexander%20City,Tallapoosa County,32.926169,-85.9663895
42,fairhope-municipal-park,Fairhope Municipal Park,Fairhope,Alabama,36532,20,5.0,30.5240334,-87.912181,no,none,AL,36532,14800,1416766,USA,95727.43243243244,Fairhope,Baldwin County,30.5240334,-87.912181
43,fairview-park-disc-golf-course,Fairview Park Disc Golf Course,Fairview,Alabama,35058,18,3.0,34.2530802,-86.68875030000002,no,none,AL,35058,4230,235723,USA,55726.47754137116,Fairview,Cullman County,34.2530802,-86.68875030000002
44,faith-church,Faith Church,Florence,Alabama,35634,3,,34.8434384,-87.59981040000002,no,none,AL,35634,4560,359335,USA,78801.5350877193,Florence,Lauderdale County,34.8434384,-87.59981040000002
45,faulkner-state-community-college,Faulkner State Community College,Bay Minette,Alabama,36507,18,,30.8516838,-87.77735600000003,no,none,AL,36507,8040,411709,USA,51207.58706467661,Bay%20Minette,Baldwin County,30.8516838,-87.77735600000003
46,first-baptist-church-robertsdale,First Baptist Church of Robertsdale,Robertsdale,Alabama,36567,9,,30.547285100000003,-87.7139716,no,none,AL,36567,5880,285120,USA,48489.79591836735,Robertsdale,Baldwin County,30.547285100000003,-87.7139716
47,flying-dragon-disc-golf-course,Flying Dragon Disc Golf Course,Decatur,Alabama,35603,18,,34.5658725,-87.04087750000002,no,none,AL,35603,14270,977588,USA,68506.51716888577,Decatur,Morgan County,34.5658725,-87.04087750000002
48,fort-rucker-flying-disc-golf-course,Fort Rucker Flying Disc Golf Course,Fort Rucker,Alabama,36362,18,5.0,31.335895500000003,-85.7051467,no,none,AL,36362,1400,74744,USA,53388.571428571435,Fort%20Rucker,Dale County,31.335895500000003,-85.7051467
49,freedom-hills-disc-golf-course,Freedom Hills Disc Golf Course,Red Bay,Alabama,35582,9,,34.440105700000004,-88.1128152,no,none,AL,35582,1620,88251,USA,54475.92592592593,Red%20Bay,Franklin County,34.440105700000004,-88.1128152
50,gattman-park,Gattman Park,Muscle Shoals,Alabama,35661,9,,34.738670500000005,-87.65804809999999,no,none,AL,35661,7940,504595,USA,63551.00755667506,Muscle%20Shoals,Colbert County,34.738670500000005,-87.65804809999999
51,george-ward-park,George Ward Park,Birmingham,Alabama,35205,24,4.0,33.4878408,-86.8199633,no,none,AL,35205,7590,493898,USA,65072.20026350461,Birmingham,Jefferson County,33.4878408,-86.8199633
52,golden-bear-dgc,Golden Bear DGC,Lexington,Alabama,35648,9,,34.96925,-87.3711316,no,none,AL,35648,1570,80219,USA,51094.90445859873,Lexington,Lauderdale County,34.96925,-87.3711316
53,greenbrier-woods,Greenbrier Woods,Madison,Alabama,35756,9,,34.7109417,-86.80508640000002,no,none,AL,35756,9130,823429,USA,90189.3756845564,Madison,Limestone County,34.7109417,-86.80508640000002
54,rustic-youth-camp,Greg Carter Memorial Course,Russellville,Alabama,35653,18,,33.6373544,-86.59688009999998,no,none,AL,35653,4410,200184,USA,45393.197278911575,Russellville,Jefferson County,33.6373544,-86.59688009999998
55,greg-carter-memorial-disc-golf-course,Greg Carter Memorial Disc Golf Course,Trussville,Alabama,35173,18,4.0,33.6373544,-86.59688009999998,no,none,AL,35173,13140,1206986,USA,91855.85996955859,Trussville,Jefferson County,33.6373544,-86.59688009999998
56,john-lemaster-memorial-dgc,John Lemaster Memorial Disc Golf Course,Trussville,Alabama,35173,18,5.0,33.6302375,-86.6022886,no,none,AL,35173,13140,1206986,USA,91855.85996955859,Trussville,Jefferson County,33.6302375,-86.6022886
57,ha-alexander-park,H.A. Alexander Park,Moulton,Alabama,35650,18,,34.4815342,-87.3062929,no,none,AL,35650,5450,274852,USA,50431.55963302752,Moulton,Lawrence County,34.4815342,-87.3062929
58,halawaka-park,Halawaka Park,Salem,Alabama,36874,18,3.0,32.5968028,-85.2385527,no,none,AL,36874,3660,219136,USA,59873.22404371585,Salem,Lee County,32.5968028,-85.2385527
59,heritage-park-1,Heritage Park,Cullman,Alabama,35055,18,4.0,34.15642929999999,-86.842815,no,none,AL,35055,8060,452074,USA,56088.58560794045,Cullman,Cullman County,34.15642929999999,-86.842815
60,honda-park-disc-golf-course,Honda Park Disc Golf Course,Lincoln,Alabama,35096,18,,33.6059757,-86.12589109999998,no,none,AL,35096,3450,187502,USA,54348.40579710145,Lincoln,Talladega County,33.6059757,-86.12589109999998
61,hurricane-alley-discgolfcourse,Hurricane Alley Disc Golf Course,Irvington,Alabama,36544,9,,30.6986962,-88.18445600000003,no,none,AL,36544,4400,188446,USA,42828.63636363637,Irvington,Mobile County,30.6986962,-88.18445600000003
62,indian-creek-disc-golf-course,Indian Creek Disc Golf Course,Huntsville,Alabama,35806,20,3.0,34.7345,-86.703071,no,none,AL,35806,12190,919055,USA,75394.17555373258,Huntsville,Madison County,34.7345,-86.703071
63,inverness-disc-golf-park,Inverness Disc Golf Park,Birmingham,Alabama,35242,18,4.0,33.4183388,-86.71488670000002,no,none,AL,35242,25910,3749843,USA,144725.70436125048,Birmingham,Shelby County,33.4183388,-86.71488670000002
64,ivan-k-hill-park,Ivan K. Hill Disc Golf Course ,Winfield,Alabama,35594,18,5.0,33.9362633,-87.8084416,no,none,AL,35594,2880,150392,USA,52219.444444444445,Winfield,Marion County,33.9362633,-87.8084416
65,jacksonville-community-disc-golf-course,Jacksonville Community Disc Golf Course,Jacksonville,Alabama,36265,9,1.0,33.811339399999994,-85.772768,no,none,AL,36265,7620,385187,USA,50549.475065616796,Jacksonville,Calhoun County,33.811339399999994,-85.772768
66,joe-wheeler-state-park,Joe Wheeler State Park,Rogersville,Alabama,35652,18,,34.8256425,-87.2947417,no,none,AL,35652,3470,204063,USA,58807.78097982709,Rogersville,Lauderdale County,34.8256425,-87.2947417
67,john-hunt-park,John Hunt Park,Huntsville,Alabama,35802,18,1.0,34.6897827,-86.5875803,no,none,AL,35802,11470,1099678,USA,95874.28073234526,Huntsville,Madison County,34.6897827,-86.5875803
68,logan-park,Kent Robertson Park,Huntsville,Alabama,35802,6,,34.6582711,-86.5807626,no,none,AL,35802,11470,1099678,USA,95874.28073234526,Huntsville,Madison County,34.6582711,-86.5807626
69,kudzu-cove-disc-golf-course,Kudzu Cove Disc Golf Course,Guntersville,Alabama,35976,18,,34.407129600000005,-86.2493598,no,none,AL,35976,7080,482190,USA,68105.93220338984,Guntersville,Marshall County,34.407129600000005,-86.2493598
70,lake-ellis-disc-golf-course,Lake Ellis Disc Golf Course,Chatom,Alabama,36518,18,,31.4651653,-88.25445570000002,no,none,AL,36518,1010,65631,USA,64981.188118811886,Chatom,Washington County,31.4651653,-88.25445570000002
71,lake-point-park,Lake Point Park,Heflin,Alabama,36264,18,4.0,33.6472706,-85.6022306,no,none,AL,36264,3400,176324,USA,51860.0,Heflin,Cleburne County,33.6472706,-85.6022306
