id,name,city,state_x,zip,holeCount,rating,latitude,longitude,Modified,Comments,state_y,zipcode,total_pop,total_income,country,avg_income,cityURL,county,latstr,lonstr,county_clean
adventist-discovery-park,Adventist DISCovery Park,Opelika,Alabama,36804,3,,32.6454116,-85.3782795,no,none,AL,36804,8240,417346,USA,50648.78641,Opelika,Lee County,32.6454116,-85.3782795,Lee County
agape-disc-golf-course,Agape Disc Golf Course,Scottsboro,Alabama,35769,9,,34.6228192,-86.0806919,no,none,AL,35769,4170,316625,USA,75929.25659,Scottsboro,Jackson County,34.6228192,-86.0806919,Jackson County
aggieland-disc-golf,Aggieland Disc Golf,Hamilton,Alabama,35570,18,,34.1423235,-87.9886438,no,none,AL,35570,3930,174684,USA,44448.85496,Hamilton,Marion County,34.1423235,-87.9886438,Marion County
agricultural-heritage-park,Agricultural Heritage Park,Auburn,Alabama,36830,9,,32.5944595,-85.4923344,no,none,AL,36830,16600,1485585,USA,89493.07229,Auburn,Lee County,32.5944595,-85.4923344,Lee County
arab-city-park-844-shoal-creek-trail-35016,Arab City Park,Arab,Alabama,35016,18,,34.3178353,-86.4818278,no,none,AL,35016,7210,385033,USA,53402.63523,Arab,Marshall County,34.3178353,-86.4818278,Marshall County
asbury-umc-disc-golf-course,Asbury UMC Disc Golf Course,Madison,Alabama,35758,9,,34.7345,-86.703071,no,none,AL,35758,21560,2066909,USA,95867.76438,Madison,Madison County,34.7345,-86.703071,Madison County
dublin-park,Dublin Park,Madison,Alabama,35758,9,2,34.7093546,-86.7351659,no,none,AL,35758,21560,2066909,USA,95867.76438,Madison,Madison County,34.7093546,-86.7351659,Madison County
athens-state-university,Athens State University,Athens,Alabama,35611,9,,34.8055801,-86.9645309,no,none,AL,35611,10330,514537,USA,49809.97096,Athens,Limestone County,34.8055801,-86.9645309,Limestone County
sportsplex,Sportsplex,Athens,Alabama,35611,19,4,34.8144585,-86.941128,no,none,AL,35611,10330,514537,USA,49809.97096,Athens,Limestone County,34.8144585,-86.941128,Limestone County
auburn-university-montgomery-aum,Auburn University Montgomery (AUM),Montgomery,Alabama,36117,22,,32.3697457,-86.1766584,no,none,AL,36117,22550,1696025,USA,75211.75166,Montgomery,Montgomery County,32.3697457,-86.1766584,Montgomery County
baker-high-school,Baker High School,Mobile,Alabama,36608,9,,30.6695103,-88.2522215,no,none,AL,36608,15650,1313695,USA,83942.17252,Mobile,Mobile County,30.6695103,-88.2522215,Mobile County
langan-municipal-park,Langan Municipal Park,Mobile,Alabama,36608,19,3,30.7062075,-88.1596322,no,none,AL,36608,15650,1313695,USA,83942.17252,Mobile,Mobile County,30.7062075,-88.1596322,Mobile County
municipal-red,Municipal Red Disc Golf Course,Mobile,Alabama,36608,18,,30.6986962,-88.184456,no,none,AL,36608,15650,1313695,USA,83942.17252,Mobile,Mobile County,30.6986962,-88.184456,Mobile County
spring-hill-college-disc-golf-course,Spring Hill College Disc Golf Course,Mobile,Alabama,36608,18,,30.6915278,-88.137679,no,none,AL,36608,15650,1313695,USA,83942.17252,Mobile,Mobile County,30.6915278,-88.137679,Mobile County
university-south-alabama,University of South Alabama,Mobile,Alabama,36608,18,,30.6959406,-88.184236,no,none,AL,36608,15650,1313695,USA,83942.17252,Mobile,Mobile County,30.6959406,-88.184236,Mobile County
bowers-park,Bowers Park,Tuscaloosa,Alabama,35405,18,4,33.1771041,-87.5113813,no,none,AL,35405,18530,928260,USA,50094.98111,Tuscaloosa,Tuscaloosa County,33.1771041,-87.5113813,Tuscaloosa County
brahan-springs-park,Brahan Springs Park,Huntsville,Alabama,35805,18,3,34.7053182,-86.6003214,no,none,AL,35805,7820,218090,USA,27888.7468,Huntsville,Madison County,34.7053182,-86.6003214,Madison County
calhoun-huntsville-campus-disc-golf-course,Calhoun Huntsville Campus Disc Golf Course,Huntsville,Alabama,35805,6,,34.6824569,-86.6387445,no,none,AL,35805,7820,218090,USA,27888.7468,Huntsville,Madison County,34.6824569,-86.6387445,Madison County
drake-springs,Drake Springs,Huntsville,Alabama,35805,9,,34.7053182,-86.6003214,no,none,AL,35805,7820,218090,USA,27888.7468,Huntsville,Madison County,34.7053182,-86.6003214,Madison County
mirabeau-apartments,Mirabeau Apartments,Huntsville,Alabama,35805,9,,34.71293,-86.5957977,no,none,AL,35805,7820,218090,USA,27888.7468,Huntsville,Madison County,34.71293,-86.5957977,Madison County
univ-ala-huntsville-uah,Univ. of Ala. Huntsville (UAH),Huntsville,Alabama,35805,18,,34.7251308,-86.6398951,no,none,AL,35805,7820,218090,USA,27888.7468,Huntsville,Madison County,34.7251308,-86.6398951,Madison County
brush-creek-park,Brush Creek Park,Waterloo,Alabama,35677,18,,34.9039299,-87.9881374,no,none,AL,35677,710,30781,USA,43353.52113,Waterloo,Lauderdale County,34.9039299,-87.9881374,Lauderdale County
burnt-corn-creek-park,Burnt Corn Creek Park,Brewton,Alabama,36426,9,4,31.1538647,-87.0857914,no,none,AL,36426,5590,262530,USA,46964.22182,Brewton,Escambia County,31.1538647,-87.0857914,Escambia County
camp-127,Camp 1:27,Clanton,Alabama,35046,18,4,32.8492509,-86.5157391,no,none,AL,35046,2320,144501,USA,62284.91379,Clanton,Chilton County,32.8492509,-86.5157391,Chilton County
capital-city-disc-golf-course-0,Capital City Disc Golf Course,St. Stephens,Alabama,36569,18,,31.5561333,-88.0376136,no,none,AL,36569,310,17037,USA,54958.06452,St.%20Stephens,Washington County,31.5561333,-88.0376136,Washington County
casture-pattle-dgc,Casture Pattle Disc Golf Course,Lanett,Alabama,36863,18,4,32.8475631,-85.2552697,no,none,AL,36863,4620,186669,USA,40404.54545,Lanett,Chambers County,32.8475631,-85.2552697,Chambers County
chapman-pines-disc-golf-course,Chapman Pines Disc Golf Course,Huntsville,Alabama,35811,18,,34.7734165,-86.5473357,no,none,AL,35811,12780,824683,USA,64529.18623,Huntsville,Madison County,34.7734165,-86.5473357,Madison County
chickasabogue-county-park-new-ridge,Chickasabogue County Park - New Ridge,Eight Mile,Alabama,36613,18,,30.7792176,-88.1072892,no,none,AL,36613,4680,178405,USA,38120.7265,Eight%20Mile,Mobile County,30.7792176,-88.1072892,Mobile County
