state,region,n_courses,popularity_index
Iowa,midwest,287,89.15338762681448
Kansas,midwest,260,87.99146618149526
South Dakota,midwest,74,82.11592771579012
North Dakota,midwest,60,74.96308068276375
Vermont,northeast,43,66.50735834319343
Wyoming,west,38,65.57433627555025
Minnesota,midwest,339,58.579493928468736
Wisconsin,midwest,344,57.96062182311766
Nebraska,midwest,110,55.31707748816215
Maine,northeast,74,54.04777677391742
Idaho,west,100,52.81476278249296
Montana,west,58,52.57494876208658
Alaska,west,31,42.004110982991044
Oklahoma,southwest,164,40.99023407673122
Arkansas,southeast,109,35.96592937611321
West Virginia,southeast,64,35.91752438463179
Oregon,west,143,33.113410885096
Missouri,midwest,185,29.896037740758047
Mississippi,southeast,88,29.728976461745056
Colorado,west,176,29.71658817097439
Michigan,midwest,300,29.655788231574935
Indiana,midwest,185,27.02357653675776
North Carolina,southeast,273,25.705808043714562
Kentucky,southeast,114,25.114944934381697
Alabama,southeast,121,23.850885055094558
South Carolina,southeast,122,23.38492136436832
New Hampshire,northeast,32,23.025873166295018
New Mexico,southwest,48,22.543784255984672
Illinois,midwest,285,22.250181983067378
Ohio,midwest,261,22.021532840433494
Tennessee,southeast,154,21.925490917436576
Utah,west,73,21.64141538414105
Washington,west,128,16.199601363247076
Texas,southwest,464,15.494819203677828
Pennsylvania,northeast,202,15.463802300952539
Virginia,southeast,131,14.958663275579571
Delaware,southeast,13,12.89234888679526
Georgia,southeast,138,12.641113297351962
Louisiana,southeast,56,11.959083703548837
Nevada,west,34,10.673611629967231
Arizona,southwest,71,9.721502237725508
Massachusetts,northeast,60,8.419427829717073
Connecticut,northeast,30,8.304925872999966
Florida,southeast,178,8.059563616286349
Maryland,southeast,50,7.989826713442308
California,west,309,7.725950871403498
Hawaii,west,11,7.461345144868798
New York,northeast,136,6.677836002069933
New Jersey,northeast,40,4.260570528738933
Rhode Island,northeast,4,3.615521796625091
