state_x,total_pop,avg_income,n_courses,holeCount,rating
Alabama,970510,60129.95584529872,121,15.438016528925619,3.6739130434782608
Alaska,288780,74791.92993531955,31,13.451612903225806,3.6923076923076925
Arizona,994820,63961.72707950505,71,13.887323943661972,3.41025641025641
Arkansas,886250,55399.12342153164,109,13.98165137614679,3.789473684210526
California,4093380,75793.61700131319,309,14.239482200647249,3.28
Colorado,1879100,80219.33812707949,176,13.886363636363637,3.2777777777777777
Connecticut,330080,109678.58233948084,30,14.933333333333334,3.611111111111111
Delaware,178660,71301.19783197284,13,16.76923076923077,3.0
Florida,2229570,71147.14591435766,178,14.47191011235955,3.6037735849056602
Georgia,1757390,63097.464683753504,138,14.86231884057971,3.588235294117647
Hawaii,108150,60827.755746844574,11,12.818181818181818,4.666666666666667
Idaho,882770,65559.22856391115,100,12.83,3.35
Illinois,2729860,76785.41057963148,285,12.610526315789473,3.0847457627118646
Indiana,1901680,61940.26618537953,185,14.821621621621622,3.526315789473684
Iowa,1346220,66076.19160904874,287,11.668989547038327,3.221052631578947
Kansas,1440530,59990.12983708609,260,12.207692307692307,3.3703703703703702
Kentucky,1188150,54763.98132696819,114,15.236842105263158,3.3384615384615386
Louisiana,522550,62495.9079204236,56,15.267857142857142,3.4
Maine,335500,59570.185713558596,74,16.14864864864865,3.46875
Maryland,481640,79788.3242563442,50,14.84,3.260869565217391
Massachusetts,501090,89881.83097792503,60,15.25,3.5428571428571427
Michigan,2712540,65157.65313933422,300,15.246666666666666,3.7130434782608694
Minnesota,2365280,69054.94821472734,339,11.265486725663717,3.09375
Mississippi,636760,52094.0575294314,88,15.375,3.4
Missouri,1762390,58524.15234673844,185,13.875675675675677,3.7183098591549295
Montana,416210,67079.97775378778,58,14.482758620689655,3.55
Nebraska,514590,60920.89264389893,110,10.736363636363636,2.9074074074074074
Nevada,437070,92272.23529763361,34,14.529411764705882,3.7222222222222223
New Hampshire,155490,83744.91477189014,32,15.78125,3.6470588235294117
New Jersey,489430,107111.45941767593,40,13.725,3.375
New Mexico,486430,59271.86123646348,48,14.708333333333334,3.125
New York,932840,70437.62580286602,136,14.727941176470589,3.1132075471698113
North Carolina,3199590,64588.38651929969,273,14.739926739926739,3.364341085271318
North Dakota,479370,72439.367772603,60,11.016666666666667,3.7142857142857144
Ohio,2999610,62402.60514767452,261,13.762452107279694,3.062937062937063
Oklahoma,1253960,56985.45665565258,164,13.170731707317072,3.1296296296296298
Oregon,1134120,65523.28415262678,143,13.475524475524475,3.2933333333333334
Pennsylvania,1881090,72327.36069321279,202,14.133663366336634,3.389473684210526
Rhode Island,40480,75712.36374575438,4,18.0,3.5
South Carolina,1674680,63733.53851581083,122,13.770491803278688,3.274193548387097
South Dakota,425440,64898.89693214893,74,11.391891891891891,3.2666666666666666
Tennessee,1777020,61670.52324750162,154,14.116883116883116,3.419753086419753
Texas,6156110,73725.58836587684,464,13.89655172413793,3.398936170212766
Utah,829810,70352.32362735392,73,13.397260273972602,3.4634146341463414
Vermont,111920,67267.08101519608,43,15.976744186046512,3.7
Virginia,1380780,72861.71935873454,131,14.725190839694656,3.4393939393939394
Washington,1399470,76454.96072105115,128,13.5390625,3.3275862068965516
West Virginia,294560,57620.27252213979,64,15.4375,3.5454545454545454
Wisconsin,2489580,66144.27092785512,344,12.281976744186046,3.550387596899225
Wyoming,291970,80759.99636352471,38,13.078947368421053,3.1818181818181817
